name	ensembl_id	gene_name	synonyms
NUT family member 2B	ENSG00000188199	NUTM2B	NUTM2B,FAM22B,BA119F19.1
ring finger protein 220	ENSG00000187147	RNF220	RNF220,C1ORF164,FLJ10597
PR/SET domain 1	ENSG00000057657	PRDM1	PRDM1,BLIMP1,PRDI-BF1
tenascin C	ENSG00000041982	TNC	TNC,HXB,DFNA56,TN,MGC167029
trefoil factor 2	ENSG00000160181	TFF2	TFF2,SML1
DEAD-box helicase 43	ENSG00000080007	DDX43	DDX43,HAGE,DKFZP434H2114,CT13
regenerating family member 3 alpha	ENSG00000172016	REG3A	REG3A,PAP,HIP,REG-III,REG3,PBCGF,PAP1
SMAD family member 2	ENSG00000175387	SMAD2	SMAD2,MADH2,MADR2,JV18-1
SRY-box 11	ENSG00000176887	SOX11	SOX11
parathyroid hormone like hormone	ENSG00000087494	PTHLH	PTHLH,PTHRP,HHM,PLP,PTHR
insulin like growth factor binding protein 6	ENSG00000167779	IGFBP6	IGFBP6
neuron navigator 1	ENSG00000134369	NAV1	NAV1,FLJ12560,FLJ14203,KIAA1151,MGC14961,POMFIL3,STEERIN-1,DKFZP781D0314
protein interacting with PRKCA 1	ENSG00000100151	PICK1	PICK1,PRKCABP,DJ1039K5,MGC15204
ATP binding cassette subfamily B member 5	ENSG00000004846	ABCB5	ABCB5,EST422562,ABCB5BETA,ABCB5ALPHA
activating transcription factor 7 interacting protein	ENSG00000171681	ATF7IP	ATF7IP,FLJ10688,P621
immediate early response 2	ENSG00000160888	IER2	IER2,ETR101
helicase like transcription factor	ENSG00000071794	HLTF	HLTF,SNF2L3,SMARCA3,HIP116A,HLTF1,RNF80
transforming growth factor beta 1	ENSG00000105329	TGFB1	TGFB1,TGFB,DPD1,CED,TGFBETA
CD44 molecule (Indian blood group)	ENSG00000026508	CD44	CD44,MIC4,MDU2,MDU3,IN,MC56,PGP1,CD44R,HCELL,CSPG8
thymosin beta 10	ENSG00000034510	TMSB10	TMSB10,TB10
Cbl proto-oncogene C	ENSG00000142273	CBLC	CBLC,CBL-3,CBL-SL,RNF57
family with sequence similarity 57 member A	ENSG00000167695	TLCD3A	FAM57A,FLJ22282,TLCD3A
epidermal growth factor receptor	ENSG00000146648	EGFR	EGFR,ERBB,ERBB1
microRNA 21	ENSG00000284190	MIR21	MIR21,MIRN21,HSA-MIR-21,MIR-21
B cell CLL/lymphoma 11B	ENSG00000127152	BCL11B	BCL11B,ZNF856B,CTIP-2,CTIP2,HRIT1-ALPHA
serpin family B member 1	ENSG00000021355	SERPINB1	SERPINB1,ELANH2,EI,PI2,ANTI-ELASTASE
Pvt1 oncogene (non-protein coding)	ENSG00000249859	PVT1	PVT1,NCRNA00079,LINC00079,ONCO-LNCRNA-100,MIR1204HG
MAF bZIP transcription factor	ENSG00000178573	MAF	MAF,C-MAF
DEAD-box helicase 6	ENSG00000110367	DDX6	DDX6,HLR2,RCK
transient receptor potential cation channel subfamily M member 1	ENSG00000134160	TRPM1	TRPM1,MLSN1,LTRPC1,CSNB1C
casein kinase 2 alpha 1	ENSG00000101266	CSNK2A1	CSNK2A1,CKA1,CKA2
C-X9-C motif containing 4	ENSG00000182712	CMC4	CMC4,MTCP1,MTCP1NB,P8MTCP1,P8
A-kinase anchoring protein 13	ENSG00000170776	AKAP13	AKAP13,LBC,HT31,BRX,AKAP-LBC,C-LBC,PROTO-LB,HA-3,ARHGEF13
intercellular adhesion molecule 1	ENSG00000090339	ICAM1	ICAM1,BB2,CD54
TOP1 binding arginine/serine rich protein	ENSG00000197579	TOPORS	TOPORS,RP31,TP53BPL,LUN
mitogen-activated protein kinase 1	ENSG00000100030	MAPK1	MAPK1,PRKM2,PRKM1,ERK,ERK2,P41MAPK,MAPK2
SHC adaptor protein 1	ENSG00000160691	SHC1	SHC1,SHC,P66,SHCA
LIF receptor alpha	ENSG00000113594	LIFR	LIFR,CD118
microRNA 221	ENSG00000207870	MIR221	MIR221,MIRN221,HSA-MIR-221
colony stimulating factor 3 receptor	ENSG00000119535	CSF3R	CSF3R,CD114,GCSFR
unc-79 homolog, NALCN channel complex subunit	ENSG00000133958	UNC79	UNC79,KIAA1409
S-phase kinase associated protein 1 pseudogene 2		SKP1P2	SKP1P2,SKP1B,P19B
RB binding protein 5, histone lysine methyltransferase complex subunit	ENSG00000117222	RBBP5	RBBP5,RBQ3,SWD1
protein phosphatase 1 regulatory subunit 13 like	ENSG00000104881	PPP1R13L	PPP1R13L,RAI,IASPP
NRAS proto-oncogene, GTPase	ENSG00000213281	NRAS	NRAS,N-RAS
protein phosphatase 1 regulatory subunit 16B	ENSG00000101445	PPP1R16B	PPP1R16B,KIAA0823,TIMAP,ANKRD4
Fc receptor like 4	ENSG00000163518	FCRL4	FCRL4,FCRH4,IRTA1,IGFP2,CD307D
SKI proto-oncogene	ENSG00000157933	SKI	SKI
WD repeat domain 11	ENSG00000120008	WDR11	WDR11,BRWD2,KIAA1351,FLJ10506,WDR15,HH14,DR11,SRI1
ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	ENSG00000135439	AGAP2	AGAP2,CENTG1
TNF receptor superfamily member 13B	ENSG00000240505	TNFRSF13B	TNFRSF13B,TACI,CD267,IGAD2
maternally expressed 3 (non-protein coding)	ENSG00000214548	MEG3	MEG3,GTL2,NCRNA00023,LINC00023,ONCO-LNCRNA-83
SRY-box 10	ENSG00000100146	SOX10	SOX10,DOM,WS4,WS2E
MYB proto-oncogene like 1	ENSG00000185697	MYBL1	MYBL1,AMYB,A-MYB
serine and arginine rich splicing factor 6	ENSG00000124193	SRSF6	SRSF6,SFRS6,SRP55,B52
MLLT11, transcription factor 7 cofactor	ENSG00000213190	MLLT11	MLLT11,AF1Q
DIRAS family GTPase 3	ENSG00000162595	DIRAS3	DIRAS3,ARHI,NOEY2
chromodomain helicase DNA binding protein 2	ENSG00000173575	CHD2	CHD2,FLJ38614,DKFZP547I1315,DKFZP781D1727,DKFZP686E01200
forkhead box E1	ENSG00000178919	FOXE1	FOXE1,FKHL15,TITF2,FOXE2,TTF-2,HFKH4
ATP binding cassette subfamily B member 8	ENSG00000197150	ABCB8	ABCB8,EST328128,M-ABC1,MABC1
breakpoint cluster region pseudogene 2		BCRP2	BCRP2,BCR2,BCRL2,BCR-2
capicua transcriptional repressor	ENSG00000079432	CIC	CIC,KIAA0306
BH3 interacting domain death agonist	ENSG00000015475	BID	BID
mitogen-activated protein kinase 14	ENSG00000112062	MAPK14	MAPK14,CSPB1,CSBP1,CSBP2,PRKM14,P38,MXI2,PRKM15
FERM domain containing 8	ENSG00000126391	FRMD8	FRMD8,FLJ90369,FKSG44
TNF superfamily member 10	ENSG00000121858	TNFSF10	TNFSF10,TRAIL,APO-2L,TL2,CD253
B cell CLL/lymphoma 10	ENSG00000142867	BCL10	BCL10,CARMEN,CIPER,ME10,C-E10,CLAP
DNA damage regulated autophagy modulator 1	ENSG00000136048	DRAM1	DRAM1,FLJ11259,DRAM
proliferating cell nuclear antigen	ENSG00000132646	PCNA	PCNA
thyroid hormone receptor interactor 11	ENSG00000100815	TRIP11	TRIP11,CEV14,TRIP230,GMAP-210,GMAP210
NFKB inhibitor alpha	ENSG00000100906	NFKBIA	NFKBIA,NFKBI,IKBA,MAD-3,IKAPPABALPHA
transducer of ERBB2, 2	ENSG00000183864	TOB2	TOB2,TROB2,TOBL,TOB4,BK223H9,APRO5
prothymosin alpha	ENSG00000187514	PTMA	PTMA,TMSA
signal peptide peptidase like 2B	ENSG00000005206	SPPL2B	SPPL2B,IMP4,PSL1,KIAA1532
cytokine receptor like factor 2	ENSG00000205755	CRLF2	CRLF2,CRL2,TSLPR
TNF receptor associated factor 1	ENSG00000056558	TRAF1	TRAF1,EBI6
CRK proto-oncogene, adaptor protein	ENSG00000167193	CRK	CRK
C-C motif chemokine receptor 7	ENSG00000126353	CCR7	CCR7,CMKBR7,EBI1,BLR2,CDW197,CD197
ADAM metallopeptidase domain 9	ENSG00000168615	ADAM9	ADAM9,CORD9,MDC9,KIAA0021,MCMP,MLTNG
inhibitor of DNA binding 3, HLH protein	ENSG00000117318	ID3	ID3,HEIR-1,BHLHB25
dual specificity tyrosine phosphorylation regulated kinase 1A	ENSG00000157540	DYRK1A	DYRK1A,DYRK1,DYRK,MNBH
programmed cell death 6	ENSG00000249915	PDCD6	PDCD6,ALG-2,PEF1B
catenin alpha 1	ENSG00000044115	CTNNA1	CTNNA1,CAP102
DNA polymerase eta	ENSG00000170734	POLH	POLH,RAD30A,XP-V
glutamate rich 1	ENSG00000104714	ERICH1	ERICH1
potassium two pore domain channel subfamily K member 5	ENSG00000164626	KCNK5	KCNK5,K2P5.1,TASK-2
S-phase kinase associated protein 1	ENSG00000113558	SKP1	SKP1,SKP1A,EMC19,OCP2,TCEB1L,MGC34403,OCP-II,P19A
CASP8 and FADD like apoptosis regulator	ENSG00000003402	CFLAR	CFLAR,CASP8AP1,CASH,CASPER,CLARP,FLAME,FLIP,I-FLICE,MRIT,C-FLIP
immunoglobulin kappa locus		IGKC	IGKC,IGK@
FGFR1 oncogene partner		CEP43	CEP43,FOP
ETS variant 6	ENSG00000139083	ETV6	ETV6,TEL
MLLT6, PHD finger containing	ENSG00000275023	MLLT6	MLLT6,AF17,FLJ23480
replication protein A2	ENSG00000117748	RPA2	RPA2
macrophage stimulating 1	ENSG00000173531	MST1	MST1,D3F15S2,HGFL,DNF15S2,MSP,NF15S2
core-binding factor subunit beta	ENSG00000067955	CBFB	CBFB,PEBP2B
N-myristoyltransferase 1	ENSG00000136448	NMT1	NMT1,NMT
thyroid hormone receptor associated protein 3	ENSG00000054118	THRAP3	THRAP3,TRAP150,BCLAF2
myosin heavy chain 1	ENSG00000109061	MYH1	MYH1,MYHSA1,MYHA,MYHC-2X/D,MGC133384
STEAP family member 1	ENSG00000164647	STEAP1	STEAP1,STEAP,PRSS24
phosphodiesterase 4A	ENSG00000065989	PDE4A	PDE4A,DPDE2
heparanase	ENSG00000173083	HPSE	HPSE,HPA,HSE1,HPSE1
xanthine dehydrogenase	ENSG00000158125	XDH	XDH,XOR,XO
heparan sulfate proteoglycan 2	ENSG00000142798	HSPG2	HSPG2,SJS1,PERLECAN,PRCAN
ERCC excision repair 3, TFIIH core complex helicase subunit	ENSG00000163161	ERCC3	ERCC3,XPB,BTF2,RAD25,TFIIH,GTF2H
TNF receptor associated protein 1	ENSG00000126602	TRAP1	TRAP1,HSP75,HSP90L
protein phosphatase 1 catalytic subunit alpha	ENSG00000172531	PPP1CA	PPP1CA,PPP1A,PP1A,PP-1A,PP1ALPHA
POZ/BTB and AT hook containing zinc finger 1	ENSG00000100105	PATZ1	PATZ1,ZNF278,MAZR,DJ400N23,ZBTB19,ZSG,RIAZ,PATZ
opioid binding protein/cell adhesion molecule like	ENSG00000183715	OPCML	OPCML,OPCM,OBCAM,IGLON1
cadherin 20	ENSG00000101542	CDH20	CDH20,CDH7L3,CDH7
nei like DNA glycosylase 1	ENSG00000140398	NEIL1	NEIL1,FLJ22402,HFPG1,NEI1,FPG1
fibroblast growth factor 12	ENSG00000114279	FGF12	FGF12,FGF12B,FHF1
ghrelin and obestatin prepropeptide	ENSG00000157017	GHRL	GHRL,MTLRP,GHRELIN,OBESTATIN
presenilin 2	ENSG00000143801	PSEN2	PSEN2,AD4,AD3L,STM2,PS2
zinc finger protein 608	ENSG00000168916	ZNF608	ZNF608,KIAA1281,DKFZP434M098,NY-REN-36
beaded filament structural protein 2	ENSG00000170819	BFSP2	BFSP2,CP47,CP49,LIFL-L,PHAKININ
damage specific DNA binding protein 2	ENSG00000134574	DDB2	DDB2,DDBB,UV-DDB2,FLJ34321,XPE
neuroepithelial cell transforming 1	ENSG00000173848	NET1	NET1,ARHGEF8,NET1A
interferon gamma receptor 2	ENSG00000159128	IFNGR2	IFNGR2,IFNGT1,AF-1
ELKS/RAB6-interacting/CAST family member 2	ENSG00000187672	ERC2	ERC2,CAST,CAST1,KIAA0378,SPBC110,SPC110,ELKSL
collagen type IV alpha 3 chain	ENSG00000169031	COL4A3	COL4A3
gasdermin A	ENSG00000167914	GSDMA	GSDMA,GSDM,GSDM1,FLJ39120
growth hormone receptor	ENSG00000112964	GHR	GHR,GHBP
ETS proto-oncogene 1, transcription factor	ENSG00000134954	ETS1	ETS1,EWSR2,FLJ10768,ETS-1
arachidonate 12-lipoxygenase, 12S type	ENSG00000108839	ALOX12	ALOX12,12S-LOX
nuclear factor of activated T cells 1	ENSG00000131196	NFATC1	NFATC1,NF-ATC,NFATC,NFAT2
interleukin 9	ENSG00000145839	IL9	IL9,IL-9,HP40,P40
chromosome segregation 1 like	ENSG00000124207	CSE1L	CSE1L,CAS,XPO2,CSE1
protein tyrosine phosphatase, receptor type K	ENSG00000152894	PTPRK	PTPRK,R-PTP-KAPPA
EPH receptor A1	ENSG00000146904	EPHA1	EPHA1,EPHT,EPHT1,EPH
factor interacting with PAPOLA and CPSF1	ENSG00000145216	FIP1L1	FIP1L1,DKFZP586K0717,FIP1
EYA transcriptional coactivator and phosphatase 4	ENSG00000112319	EYA4	EYA4,DFNA10,CMD1J
transmembrane 4 L six family member 1	ENSG00000169908	TM4SF1	TM4SF1,M3S1,L6
heat shock protein family H (Hsp110) member 1	ENSG00000120694	HSPH1	HSPH1,HSP105B,KIAA0201,HSP105A,NY-CO-25
ubiquitin conjugating enzyme E2 C	ENSG00000175063	UBE2C	UBE2C,UBCH10
heterogeneous nuclear ribonucleoprotein A3	ENSG00000170144	HNRNPA3	HNRNPA3,HNRPA3
thyroid stimulating hormone receptor	ENSG00000165409	TSHR	TSHR,LGR3
tight junction protein 2	ENSG00000119139	TJP2	TJP2,DFNA51,ZO-2,X104,ZO2
actin beta	ENSG00000075624	ACTB	ACTB
insulin like growth factor 2	ENSG00000167244	IGF2	IGF2,C11ORF43,FLJ44734,IGF-II
protein-glucosylgalactosylhydroxylysine glucosidase	ENSG00000142102	PGGHG	PGGHG,ATHL1,FLJ22635
CKLF like MARVEL transmembrane domain containing 7	ENSG00000153551	CMTM7	CMTM7,CKLFSF7,FLJ30992
Fas cell surface death receptor	ENSG00000026103	FAS	FAS,FAS1,APT1,TNFRSF6,CD95,APO-1
cholinergic receptor nicotinic beta 4 subunit	ENSG00000117971	CHRNB4	CHRNB4
BCL tumor suppressor 7B	ENSG00000106635	BCL7B	BCL7B
purinergic receptor P2Y14	ENSG00000174944	P2RY14	P2RY14,GPR105,KIAA0001
nuclear receptor subfamily 4 group A member 3	ENSG00000119508	NR4A3	NR4A3,CSMF,CHN,NOR1,MINOR
kinetochore scaffold 1	ENSG00000137812	KNL1	KNL1,MCPH4,CASC5,D40,AF15Q14,CT29,KIAA1570,HKNL-1,HSPC105,PPP1R55,SPC7
tumor necrosis factor	ENSG00000232810	TNF	TNF,TNFA,TNFSF2,DIF,TNF-ALPHA
ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007	ABL1	ABL1,ABL,JTK7,C-ABL,P150
T-box 21	ENSG00000073861	TBX21	TBX21,TBLYM,T-BET
ELAV like RNA binding protein 1	ENSG00000066044	ELAVL1	ELAVL1,HUR,HUA,MELG
major vault protein	ENSG00000013364	MVP	MVP,LRP,VAULT1
paired like homeobox 2b	ENSG00000109132	PHOX2B	PHOX2B,PMX2B,NBPHOX
R-spondin 1	ENSG00000169218	RSPO1	RSPO1,FLJ40906,RSPONDIN
adenosine deaminase, RNA specific B2 (inactive)	ENSG00000185736	ADARB2	ADARB2,RED2,HRED2,ADAR3
1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ENSG00000110455	ACCS	ACCS,PHACS,ACS
zinc finger DHHC-type containing 14	ENSG00000175048	ZDHHC14	ZDHHC14,FLJ20984,NEW1CP
cytochrome P450 family 7 subfamily B member 1	ENSG00000172817	CYP7B1	CYP7B1,SPG5A
homeobox B8	ENSG00000120068	HOXB8	HOXB8,HOX2,HOX2D
four and a half LIM domains 2	ENSG00000115641	FHL2	FHL2,SLIM3,DRAL
ERCC excision repair 8, CSA ubiquitin ligase complex subunit	ENSG00000049167	ERCC8	ERCC8,CKN1,CSA
Fanconi anemia complementation group G	ENSG00000221829	FANCG	FANCG,XRCC9,FAG
eukaryotic translation initiation factor 4E binding protein 1	ENSG00000187840	EIF4EBP1	EIF4EBP1,PHAS-I,4E-BP1
leucine rich repeats and guanylate kinase domain containing	ENSG00000155530	LRGUK	LRGUK,FLJ32786,CFAP246
ST13, Hsp70 interacting protein	ENSG00000100380	ST13	ST13,SNC6,HSPABP1,HIP,P48,FAM10A1
salvador family WW domain containing protein 1	ENSG00000151748	SAV1	SAV1,WW45,WWP4,SALVADOR
protein tyrosine kinase 7 (inactive)	ENSG00000112655	PTK7	PTK7,CCK4
TRK-fused gene	ENSG00000114354	TFG	TFG,TF6,FLJ36137,SPG57
caspase 1	ENSG00000137752	CASP1	CASP1,IL1BC,ICE
cAMP-dependent protein kinase inhibitor gamma	ENSG00000168734	PKIG	PKIG
remodeling and spacing factor 1	ENSG00000048649	RSF1	RSF1,HBXAP,XAP8,RSF-1,P325
TNF superfamily member 18	ENSG00000120337	TNFSF18	TNFSF18,AITRL,TL6,HGITRL
WD repeat domain 82	ENSG00000164091	WDR82	WDR82,TMEM113,PRO2730,MST107,MSTP107,PRO34047,WDR82A,SWD2
ADAM metallopeptidase domain 23	ENSG00000114948	ADAM23	ADAM23,MDC3
ETS variant 4	ENSG00000175832	ETV4	ETV4,E1A-F,E1AF,PEA3
TNF receptor superfamily member 1A	ENSG00000067182	TNFRSF1A	TNFRSF1A,TNFR1,TNF-R,TNFAR,TNFR60,TNF-R-I,CD120A,TNF-R55
activating transcription factor 2	ENSG00000115966	ATF2	ATF2,CREB2,TREB7,CRE-BP1,HB16
